DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1109/jeeit.2019.8717411,,,Security Weaknesses and Attacks on the Internet of Things Applications,"Internet of Things (IoT) is a contemporary concept for connecting the existing things in our environment with the Internet for a sake of making the objects information are accessible from anywhere and anytime to support a modern life style based on the Internet. With the rapid development of the IoT technologies and widely spreading in most of the fields such as buildings, health, education, transportation and agriculture. Thus, the IoT applications require increasing data collection from the IoT devices to send these data to the applications or servers which collect or analyze the data, so it is a very important to secure the data and ensure that do not reach a malicious adversary. This paper reviews some attacks in the IoT applications and the security weaknesses in the IoT environment. In addition, this study presents the challenges of IoT in terms of hardware, network and software. Moreover, this paper summarizes and points to some attacks on the smart car, smart home, smart campus, smart farm and healthcare.","Zeyad Mohammad,Zeyad Mohammad,Thaer Abu Qattam,Thaer Abu Qattam,Kholoud Saleh,Kholoud Saleh,Kholoud Saleh",2019 IEEE Jordan International Joint Conference on Electrical Engineering and Information Technology (JEEIT),2019
10.1007/s40747-022-00765-y,,,"Authorization schemes for internet of things: requirements, weaknesses, future challenges and trends","Abstract Scalable and secure authorization of smart things is of the crucial essence for the successful deployment of the Internet of Things (IoT). Unauthorized access to smart things could exacerbate the security and privacy concern, which could, in turn, lead to the reduced adoption of the IoT, and ultimately to the emergence of severe threats. Even though there are a variety of IoT solutions for secure authorization, authorization schemes in highly dynamic distributed environments remain a daunting challenge. Access rights can dynamically change due to the heterogeneous nature of shared IoT devices and, thus, the identity and access control management are challenging. This survey provides a comprehensive comparative analysis of the current state-of-the-art IoT authorization schemes to highlight their strengths and weaknesses. Then, it defines the most important requirements and highlights the authorization threats and weaknesses impacting authorization in the IoT. Finally, the survey presents the ongoing open authorization challenges and provides recommendations for future research.","Abid Khan,Abid Khan,Awais Ahmad,Awais Ahmad,Mansoor Ahmed,Mansoor Ahmed,Jadran Sessa,Jadran Sessa,Marco Anisetti,Marco Anisetti",Complex & intelligent systems,2022
10.1109/access.2020.3006358,,,Security Analysis of IoT Devices by Using Mobile Computing: A Systematic Literature Review,"Internet of Things (IoT) devices are operating in various domains like healthcare environment, smart cities, smart homes, transportation, and smart grid system. These devices transmit a bulk of data through various sensors, actuators, transceivers, or other wearable devices. Data in the IoT environment is susceptible to many threats, attacks, and risks. Therefore, a robust security mechanism is indispensable to cope with attacks, vulnerabilities, security, and privacy challenges related to IoT. In this research, a systematic literature review has been conducted to analyze the security of IoT devices and to provide the countermeasures in response to security problems and challenges by using mobile computing. A comprehensive and in-depth security analysis of IoT devices has been made in light of mobile computing, which is a novel approach. Mobile computing’s technological infrastructures such as smartphones, services, policies, strategies, and applications are employed to tackle and mitigate these potential security threats. In this paper, the security challenges and problems of IoT devices are identified by a systematic literature review. Then, mobile computing has been used to address these challenges by providing potential security measures and solutions. Hardware and software-based solutions furnished by mobile computing towards the IoT security challenges have been elaborated. To the best of our knowledge, this is the first attempt to analyze the security issues and challenges of IoT in light of mobile computing and it will open a gateway towards future research.","Liao Bin,Bin Liao,Poom Kumam,Yasir Ali,Yasir Salih Ali,Yasir Ali,Yasir Ali,Shah Nazir,Shah Nazir,Long He,Long He,Habib Ullah Khan,Habib Ullah Khan",IEEE Access,2020
10.1109/ccst.2019.8888399,,,Modern security threats in the Internet of Things (IoT): Attacks and Countermeasures,"The Internet of Things (IoT) is the emerging network of hardware and software components connected to daily life activities for bringing reliability and convenience. The network mostly consists of heterogeneous devices, each having different protocols. The technology is evolving and bringing many new IoT devices into the market. IoT devices help users to lead a convenient life because of their capabilities such as processing, storage, and networking. It also helps in the field of automation, healthcare, and data analytics. However, the security of the IoT network is still a concern for the developers and users. The heterogeneous nature of the network makes it difficult for the developers to safeguard the network. On the other hand, it opens a wide range of opportunity for the attackers to compromise the confidentiality, integrity, or availability of the system. Some of the major attacks are Distributed Denial of Service (DDoS), Man In The Middle (MITM) and replay attacks. As the human elements are integrated with the IoT infrastructure, it is important to consider the security of the data and the operation of the device. The evolution of modern technologies leads to modern threats and attacks on the network, increasing the need for strict security and preventive measures. This paper presents the possible vulnerabilities in the modern IoT network along with their countermeasures to prevent them from the perspective of software, hardware, and network infrastructure. The overview could help the reader to gain insight into the IoT network threats and security.","G. Rajendran,Gowthamaraj Rajendran,R S Ragul Nivash,R S Ragul Nivash,Purushotham Parthiban Parthy,Purushotham Parthiban Parthy,S. Balamurugan,S Balamurugan,S. Balamurugan",,2019
10.1007/978-3-030-12330-7_12,,,Security and Privacy Techniques for the Industrial Internet of Things,"The wide employment of Internet of Things (IoT) across industrial sectors creates the Industrial Internet of Things (IIoT). In practical applications, however, the IIoT has many attack surfaces. As a result, the IIoT is vulnerable to kinds of attacks, including physical attacks (such as the invasive hardware attacks, side-channel attacks and reverse-engineering attacks), malicious code (such as Trojans, viruses and runtime attacks), and other attacks (such as phishing and sabotage). To ensure the security and privacy of the IIoT, many countermeasures have been proposed, a non-exhaustive list includes authentication techniques, secure routing techniques, intrusion detection techniques, signature techniques, and key establishment techniques. As a fundamental countermeasure, key establishment has been extensively and intensively studied. In this chapter, we will present a survey and taxonomy of the key establishment protocols. Specifically, we will review the conventional key establishment protocols which are designed at higher layers and the physical layer. By reviewing the conventional key establishment protocols, we aim to illustrate the necessity of designing cross-layer key establishment protocols for the IIoT. Then, we will provide the detailed review of cross-layer key establishment protocols. The review illustrates that, the cross-layer design enables the IIoT devices to establish communication keys without the trusted entity and the secret sharing assumption. At the end of this chapter, we will provide a conclusion and point out some future research trends of the IIoT.","Yuexin Zhang,Yuexin Zhang,Yuexin Zhang,Yuexin Zhang,Xinyi Huang,Xinyi Huang,Xinyi Huang,Xinyi Huang",Security and Privacy Trends in the Industrial Internet of Thing,2019
10.1109/comst.2019.2953364,,1910.13312,Security of the internet of things vulnerabilities attacks and countermeasures,"Wireless Sensor Networks (WSNs) constitute one of the most promising third-millennium technologies and have a wide range of applications in our surrounding environment. The reason behind the vast adoption of WSNs in various applications is that they have tremendously appealing features, e.g., low production cost, low installation cost, unattended network operation, autonomous and longtime operation. WSNs have started to merge with the Internet of Things (IoT) through the introduction of Internet access capability in sensor nodes and sensing ability in Internet-connected devices. Thereby, the IoT is providing access to huge amount of data, collected by the WSNs, over the Internet. However, owing to the absence of a physical line-of-defense, i.e. there is no dedicated infrastructure such as gateways to watch and observe the flowing information in the network, security of WSNs along with IoT is of a big concern to the scientific community. Besides, recent integration and collaboration of WSNs with IoT will open new challenges and problems in terms of security. Hence, this would be a nightmare for the individuals using these systems as well as the security administrators who are managing those networks. Therefore, a detailed review of security attacks towards WSNs and IoT, along with the techniques for prevention, detection, and mitigation of those attacks are provided in this paper. In this text, attacks are categorized and treated into mainly two parts, most or all types of attacks towards WSNs and IoT are investigated under that umbrella: ""Passive Attacks"" and ""Active Attacks"". Understanding these attacks and their associated defense mechanisms will help to pave a secure path towards the proliferation and public acceptance of IoT technology.","Ismail Butun,Patrik Österberg,Houbing Song",arXiv: Cryptography and Security,2019
10.1109/jas.2022.105860,,,Detecting vulnerability on IoT device firmware: A survey,"Internet of things (IoT) devices make up 30% of all network-connected endpoints, introducing vulnerabilities and novel attacks that make many companies as primary targets for cybercriminals. To address this increasing threat surface, every organization deploying IoT devices needs to consider security risks to ensure those devices are secure and trusted. Among all the solutions for security risks, firmware security analysis is essential to fix software bugs, patch vulnerabilities, or add new security features to protect users of those vulnerable devices. However, firmware security analysis has never been an easy job due to the diversity of the execution environment and the close source of firmware. These two distinct features complicate the operations to unpack firmware samples for detailed analysis. They also make it difficult to create visual environments to emulate the running of device firmware. Although researchers have developed many novel methods to overcome various challenges in the past decade, critical barriers impede firmware security analysis in practice. Therefore, this survey is motivated to systematically review and analyze the research challenges and their solutions, considering both breadth and depth. Specifically, based on the analysis perspectives, various methods that perform security analysis on IoT devices are introduced and classified into four categories. The challenges in each category are discussed in detail, and potential solutions are proposed subsequently. We then discuss the flaws of these solutions and provide future directions for this research field. This survey can be utilized by a broad range of readers, including software developers, cyber security researchers, and software security engineers, to better understand firmware security analysis.","Xiaotao Feng,Xiaotao Feng,Xiaogang Zhu,Xiaogang Zhu,Qing-Long Han,Qing‐Long Han,Wei Zhou,Zhou Wei,Sheng Wen,Sheng Wen,Yang Xiang,Yang Xiang",IEEE/CAA Journal of Automatica Sinica,2022
,,2111.02388,A Survey of Machine Learning Algorithms for Detecting Malware in IoT Firmware,"This work explores the use of machine learning techniques on an Internet-of-Things firmware dataset to detect malicious attempts to infect edge devices or subsequently corrupt an entire network. Firmware updates are uncommon in IoT devices; hence, they abound with vulnerabilities. Attacks against such devices can go unnoticed, and users can become a weak point in security. Malware can cause DDoS attacks and even spy on sensitive areas like peoples' homes. To help mitigate this threat, this paper employs a number of machine learning algorithms to classify IoT firmware and the best performing models are reported. In a general comparison, the top three algorithms are Gradient Boosting, Logistic Regression, and Random Forest classifiers. Deep learning approaches including Convolutional and Fully Connected Neural Networks with both experimental and proven successful architectures are also explored.","E. Larsen,Korey MacVittie,John Lilly",arXiv.org,2021
10.1109/3ict.2019.8910320,,,Security Issues in IoT: A Survey,"Internet of things (IoT) could be found on everywhere in today live. It is used in smart cities like roads, hospitals and in smart homes like controlling door or air conditioner unit or preventing fires and much more. These devices that use IoT are connected to the internet and send and receive many of important data through the network. This open the attacker's starvation to invade the IoT networks and got its valuable data. The problem with the IoT devices is the limited performance components that make it difficult to apply the existing security method on it. This limitation requires a need to present lightweight algorithms which support the IoT devices. The survey in this paper reviewed several proposed algorithms and authentication methods in IoT to stop many kinds of attacks with considering the limitation of the IoT system.","Asif Hameed,Ali Hameed,Alauddin Al-Omary,Alauddin Al-Omary","2019 International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies (3ICT)",2019
10.1145/3379542,,,An Experimental Analysis of Security Vulnerabilities in Industrial IoT Devices,"The revolutionary development of the Internet of Things has triggered a huge demand for Internet of Things devices. They are extensively applied to various fields of social activities, and concerning manufacturing, they are a key enabling concept for the Industry 4.0 ecosystem. Industrial Internet of Things (IIoT) devices share common vulnerabilities with standard IoT devices, which are increasingly exposed to the attackers. As such, connected industrial devices may become sources of cyber, as well as physical, threats for people and assets in industrial environments. In this work, we examine the attack surfaces of a networked embedded system, composed of devices representative of those typically used in the IIoT field. We carry on an analysis of the current state of the security of IIoT technologies. The analysis guides the identification of a set of attack vectors for the examined networked embedded system. We set up the corresponding concrete attack scenarios to gain control of the system actuators and perform some hazardous operations. In particular, we propose a couple of variations of Mirai attack specifically tailored for attacking industrial environments. Finally, we discuss some possible","Xingbin Jiang,Xingbin Jiang,Michele Lora,Michele Lora,Michele Lora,Michele Lora,Sudipta Chattopadhyay,Sudipta Chattopadhyay",ACM Transactions on Internet Technology,2020
